date,high,low,precipitation,condition,real feel,real feel shade,max uv index,wind
7/24,21°,/19°,100%,"Cloudy with showers and thunderstorms, some heavy; watch for flash flooding",24°,21°,4 Moderate,WSW 11 km/h
7/25,21°,/19°,100%,Cloudy with showers and thunderstorms,24°,21°,4 Moderate,WSW 11 km/h
7/26,23°,/19°,96%,A thick cloud cover with a couple of showers and a thunderstorm,28°,24°,5 Moderate,SW 9 km/h
7/27,23°,/19°,97%,"Considerable cloudiness and humid with a couple of showers and a thunderstorm, mainly later",28°,24°,4 Moderate,WSW 7 km/h
7/28,20°,/19°,95%,"Thunderstorms, some can be heavy late; cloudy",24°,22°,4 Moderate,SW 6 km/h
7/29,22°,/19°,96%,Cloudy with showers and thunderstorms,26°,23°,5 Moderate,WSW 7 km/h
7/30,21°,/18°,75%,"Cloudy with a couple of showers and a thunderstorm, mainly early in the day",24°,22°,4 Moderate,WSW 7 km/h
7/31,23°,/18°,74%,"Cloudy with a couple of showers and a thunderstorm, mainly early in the day",28°,24°,8 Very High,W 9 km/h
8/1,23°,/18°,65%,Cloudy with showers and thunderstorms,27°,24°,7 High,W 4 km/h
8/2,23°,/18°,74%,"Clouds and sun with a couple of showers and a thunderstorm, mainly later",27°,25°,12 Extreme,NE 2 km/h
8/3,22°,/18°,70%,"Mostly cloudy with showers and thunderstorms, especially early in the day",28°,24°,11 Extreme,NNW 2 km/h
8/4,22°,/19°,67%,Mostly cloudy with showers and thunderstorms,26°,24°,8 Very High,NW 4 km/h
8/5,23°,/20°,45%,Mostly cloudy and humid with a couple of showers,27°,27°,4 Moderate,WSW 4 km/h
8/6,23°,/20°,69%,Considerable cloudiness with rain tapering off; humid,27°,27°,4 Moderate,SSE 4 km/h
8/7,22°,/19°,65%,Rather cloudy and humid; a couple of afternoon showers,29°,25°,12 Extreme,ENE 4 km/h
8/8,22°,/20°,74%,Cloudy and humid with rain tapering to a couple of showers,27°,27°,4 Moderate,NE 2 km/h
8/9,23°,/20°,70%,Cloudy and humid with showers,28°,26°,3 Moderate,S 6 km/h
8/10,22°,/19°,60%,Cloudy and humid with showers,27°,26°,4 Moderate,SSE 4 km/h
8/11,22°,/20°,65%,Cloudy and humid with a couple of showers,26°,25°,4 Moderate,S 7 km/h
8/12,22°,/20°,55%,Cloudy and humid with a little rain,27°,25°,4 Moderate,S 7 km/h
8/13,22°,/19°,67%,Humid with rain,27°,25°,3 Moderate,S 7 km/h
8/14,22°,/20°,70%,Cloudy with showers,25°,24°,3 Moderate,SSW 9 km/h
8/15,23°,/20°,59%,Cloudy and humid; showers in the morning followed by a shower in spots in the afternoon,28°,27°,4 Moderate,S 7 km/h
8/16,22°,/19°,44%,A thick cloud cover and humid with a shower in spots,27°,24°,4 Moderate,S 6 km/h
8/17,23°,/19°,58%,Considerable cloudiness and humid; areas of drizzle in the morning followed by a couple of showers in the afternoon,28°,26°,4 Moderate,S 4 km/h
8/18,22°,/20°,55%,Cloudy and humid with a little rain,27°,25°,4 Moderate,SSW 4 km/h
8/19,22°,/20°,55%,Cloudy and humid with a little rain,27°,25°,4 Moderate,S 4 km/h
8/20,22°,/19°,55%,Cloudy and humid with a little rain,27°,25°,4 Moderate,SSW 4 km/h
8/21,22°,/20°,41%,Cloudy and humid with a shower in places,27°,25°,4 Moderate,W 2 km/h
8/22,21°,/20°,76%,Cloudy and humid with rain tapering off,26°,24°,3 Moderate,W 4 km/h
8/23,21°,/19°,70%,Remaining cloudy and humid with showers,26°,23°,4 Moderate,SW 2 km/h
8/24,21°,/20°,70%,Mostly cloudy with showers,27°,25°,6 High,SSW 4 km/h
8/25,21°,/20°,63%,Cloudy and humid; morning showers followed by a shower in spots in the afternoon,26°,24°,3 Moderate,SSW 6 km/h
8/26,22°,/20°,56%,"A passing shower in the morning; otherwise, humid with intervals of clouds and sunshine",28°,25°,8 Very High,SSE 2 km/h
8/27,22°,/20°,57%,Rather cloudy and humid with a couple of showers,28°,26°,5 Moderate,NW 4 km/h
8/28,21°,/19°,65%,Partly sunny and humid; a couple of afternoon showers,28°,24°,13 Extreme,N 2 km/h
8/29,21°,/20°,65%,"A couple of showers in the morning; otherwise, humid with times of clouds and sun",28°,23°,10 Very High,NE 2 km/h
8/30,21°,/20°,61%,Cloudy with a couple of showers,26°,24°,5 Moderate,WNW 4 km/h
8/31,21°,/19°,55%,Clouds and sunshine with a couple of showers,28°,24°,13 Extreme,NE 4 km/h
9/1,21°,/19°,40%,"A shower in places in the morning; otherwise, clouds and sunshine",28°,24°,13 Extreme,SE 4 km/h
9/2,22°,/19°,55%,Partly sunny with a couple of showers,28°,24°,13 Extreme,E 6 km/h
9/3,22°,/19°,65%,Mostly cloudy with a couple of showers,25°,22°,5 Moderate,S 9 km/h
9/4,22°,/19°,65%,Mostly cloudy with a couple of showers,24°,22°,6 High,S 15 km/h
9/5,22°,/19°,65%,Considerable cloudiness with a couple of showers,26°,24°,5 Moderate,SSW 11 km/h
9/6,22°,/19°,65%,Cloudy most of the time with a couple of showers,26°,22°,9 Very High,SSW 15 km/h
